"","year","enso"
"1",1980,0.33
"46",1980.08333333333,0.2
"91",1980.16666666667,0.39
"136",1980.25,0.51
"181",1980.33333333333,0.45
"226",1980.41666666667,0.55
"271",1980.5,0.47
"316",1980.58333333333,0.03
"361",1980.66666666667,0.12
"406",1980.75,0.02
"451",1980.83333333333,-0.07
"496",1980.91666666667,-0.12
"2",1981,-0.36
"47",1981.08333333333,-0.23
"92",1981.16666666667,0.33
"137",1981.25,0.43
"182",1981.33333333333,-0.24
"227",1981.41666666667,-0.7
"272",1981.5,-0.61
"317",1981.58333333333,-0.34
"362",1981.66666666667,-0.07
"407",1981.75,-0.16
"452",1981.83333333333,-0.27
"497",1981.91666666667,-0.19
"3",1982,-0.43
"48",1982.08333333333,-0.49
"93",1982.16666666667,-0.27
"138",1982.25,-0.36
"183",1982.33333333333,-0.12
"228",1982.41666666667,0.62
"273",1982.5,1.65
"318",1982.58333333333,1.91
"363",1982.66666666667,1.69
"408",1982.75,1.78
"453",1982.83333333333,2.14
"498",1982.91666666667,2.37
"4",1983,2.48
"49",1983.08333333333,2.68
"94",1983.16666666667,2.61
"139",1983.25,2.76
"184",1983.33333333333,2.86
"229",1983.41666666667,1.98
"274",1983.5,0.63
"319",1983.58333333333,-0.17
"364",1983.66666666667,-0.49
"409",1983.75,-0.53
"454",1983.83333333333,-0.47
"499",1983.91666666667,-0.5
"5",1984,-0.54
"50",1984.08333333333,-0.56
"95",1984.16666666667,-0.16
"140",1984.25,0.07
"185",1984.33333333333,-0.45
"230",1984.41666666667,-0.66
"275",1984.5,-0.34
"320",1984.58333333333,-0.2
"365",1984.66666666667,-0.14
"410",1984.75,-0.19
"455",1984.83333333333,-0.58
"500",1984.91666666667,-0.28
"6",1985,-0.25
"51",1985.08333333333,-0.58
"96",1985.16666666667,-0.6
"141",1985.25,-0.76
"186",1985.33333333333,-1.23
"231",1985.41666666667,-0.67
"276",1985.5,-0.1
"321",1985.58333333333,-0.49
"366",1985.66666666667,-0.56
"411",1985.75,-0.08
"456",1985.83333333333,-0.06
"501",1985.91666666667,-0.42
"7",1986,-0.4
"52",1986.08333333333,-0.34
"97",1986.16666666667,-0.4
"142",1986.25,-0.53
"187",1986.33333333333,-0.26
"232",1986.41666666667,0.01
"277",1986.5,0.41
"322",1986.58333333333,0.97
"367",1986.66666666667,1.29
"412",1986.75,0.56
"457",1986.83333333333,0.64
"502",1986.91666666667,1.06
"8",1987,1.03
"53",1987.08333333333,1.16
"98",1987.16666666667,1.57
"143",1987.25,1.74
"188",1987.33333333333,1.96
"233",1987.41666666667,2.07
"278",1987.5,1.88
"323",1987.58333333333,1.46
"368",1987.66666666667,1.26
"413",1987.75,1.18
"458",1987.83333333333,0.9
"503",1987.91666666667,0.79
"9",1988,0.63
"54",1988.08333333333,0.33
"99",1988.16666666667,0.17
"144",1988.25,-0.01
"189",1988.33333333333,-0.39
"234",1988.41666666667,-1.17
"279",1988.5,-1.78
"324",1988.58333333333,-1.81
"369",1988.66666666667,-1.8
"414",1988.75,-1.59
"459",1988.83333333333,-1.7
"504",1988.91666666667,-1.55
"10",1989,-1.12
"55",1989.08333333333,-1.1
"100",1989.16666666667,-1.24
"145",1989.25,-1.09
"190",1989.33333333333,-1.03
"235",1989.41666666667,-0.99
"280",1989.5,-1.08
"325",1989.58333333333,-0.66
"370",1989.66666666667,-0.53
"415",1989.75,-0.49
"460",1989.83333333333,-0.36
"505",1989.91666666667,-0.07
"11",1990,0.13
"56",1990.08333333333,0.45
"101",1990.16666666667,0.61
"146",1990.25,0.17
"191",1990.33333333333,0.08
"236",1990.41666666667,0.05
"281",1990.5,0.13
"326",1990.58333333333,0.02
"371",1990.66666666667,0.22
"416",1990.75,-0.07
"461",1990.83333333333,0.12
"506",1990.91666666667,0.31
"12",1991,0.19
"57",1991.08333333333,0.08
"102",1991.16666666667,0.2
"147",1991.25,0.2
"192",1991.33333333333,0.35
"237",1991.41666666667,0.97
"282",1991.5,0.91
"327",1991.58333333333,0.37
"372",1991.66666666667,0.54
"417",1991.75,0.97
"462",1991.83333333333,1.04
"507",1991.91666666667,1.23
"13",1992,1.68
"58",1992.08333333333,1.58
"103",1992.16666666667,1.71
"148",1992.25,1.97
"193",1992.33333333333,1.68
"238",1992.41666666667,1.51
"283",1992.5,0.62
"328",1992.58333333333,-0.02
"373",1992.66666666667,0.4
"418",1992.75,0.67
"463",1992.83333333333,0.62
"508",1992.91666666667,0.73
"14",1993,0.79
"59",1993.08333333333,0.89
"104",1993.16666666667,0.77
"149",1993.25,0.98
"194",1993.33333333333,1.47
"239",1993.41666666667,1.51
"284",1993.5,0.9
"329",1993.58333333333,0.6
"374",1993.66666666667,0.61
"419",1993.75,0.96
"464",1993.83333333333,0.7
"509",1993.91666666667,0.27
"15",1994,-0.01
"60",1994.08333333333,-0.21
"105",1994.16666666667,-0.23
"150",1994.25,0.01
"195",1994.33333333333,-0.03
"240",1994.41666666667,0.25
"285",1994.5,0.96
"330",1994.58333333333,0.87
"375",1994.66666666667,1.1
"420",1994.75,1.52
"465",1994.83333333333,1.01
"510",1994.91666666667,0.91
"16",1995,0.82
"61",1995.08333333333,0.54
"106",1995.16666666667,0.17
"151",1995.25,0.13
"196",1995.33333333333,0.14
"241",1995.41666666667,0.01
"286",1995.5,-0.29
"331",1995.58333333333,-0.7
"376",1995.66666666667,-0.94
"421",1995.75,-0.74
"466",1995.83333333333,-0.77
"511",1995.91666666667,-0.9
"17",1996,-0.85
"62",1996.08333333333,-0.8
"107",1996.16666666667,-0.66
"152",1996.25,-0.76
"197",1996.33333333333,-0.85
"242",1996.41666666667,-0.91
"287",1996.5,-0.83
"332",1996.58333333333,-0.64
"377",1996.66666666667,-0.31
"422",1996.75,-0.37
"467",1996.83333333333,-0.34
"512",1996.91666666667,-0.47
"18",1997,-0.65
"63",1997.08333333333,-0.72
"108",1997.16666666667,-0.3
"153",1997.25,0.15
"198",1997.33333333333,0.71
"243",1997.41666666667,2.34
"288",1997.5,2.26
"333",1997.58333333333,2.26
"378",1997.66666666667,2.2
"423",1997.75,2.06
"468",1997.83333333333,2.14
"513",1997.91666666667,2.11
"19",1998,2.3
"64",1998.08333333333,2.45
"109",1998.16666666667,2.27
"154",1998.25,2.61
"199",1998.33333333333,2.33
"244",1998.41666666667,0.42
"289",1998.5,-1.53
"334",1998.58333333333,-1.82
"379",1998.66666666667,-1.4
"424",1998.75,-1.29
"469",1998.83333333333,-1.34
"514",1998.91666666667,-1.29
"20",1999,-1.28
"65",1999.08333333333,-1.2
"110",1999.16666666667,-1.15
"155",1999.25,-1.16
"200",1999.33333333333,-1.33
"245",1999.41666666667,-1.26
"290",1999.5,-1.18
"335",1999.58333333333,-1.03
"380",1999.66666666667,-1.16
"425",1999.75,-1.33
"470",1999.83333333333,-1.33
"515",1999.91666666667,-1.43
"21",2000,-1.25
"66",2000.08333333333,-1.26
"111",2000.16666666667,-1.37
"156",2000.25,-0.9
"201",2000.33333333333,-0.93
"246",2000.41666666667,-1.18
"291",2000.5,-0.61
"336",2000.58333333333,-0.08
"381",2000.66666666667,-0.35
"426",2000.75,-0.52
"471",2000.83333333333,-0.86
"516",2000.91666666667,-0.79
"22",2001,-0.83
"67",2001.08333333333,-0.86
"112",2001.16666666667,-0.78
"157",2001.25,-0.55
"202",2001.33333333333,-0.51
"247",2001.41666666667,-0.73
"292",2001.5,0.04
"337",2001.58333333333,0.38
"382",2001.66666666667,-0.06
"427",2001.75,-0.22
"472",2001.83333333333,-0.28
"517",2001.91666666667,0.06
"23",2002,0.09
"68",2002.08333333333,-0.26
"113",2002.16666666667,-0.2
"158",2002.25,-0.36
"203",2002.33333333333,-0.14
"248",2002.41666666667,0.34
"293",2002.5,0.44
"338",2002.58333333333,1.01
"383",2002.66666666667,0.88
"428",2002.75,0.84
"473",2002.83333333333,0.84
"518",2002.91666666667,0.91
"24",2003,0.82
"69",2003.08333333333,0.63
"114",2003.16666666667,0.53
"159",2003.25,-0.11
"204",2003.33333333333,-0.61
"249",2003.41666666667,-0.1
"294",2003.5,0.01
"339",2003.58333333333,0.05
"384",2003.66666666667,0.18
"429",2003.75,0.28
"474",2003.83333333333,0.3
"519",2003.91666666667,0.14
"25",2004,0.19
"70",2004.08333333333,-0.05
"115",2004.16666666667,-0.43
"160",2004.25,-0.23
"205",2004.33333333333,-0.46
"250",2004.41666666667,-0.39
"295",2004.5,0.46
"340",2004.58333333333,0.77
"385",2004.66666666667,0.59
"430",2004.75,0.4
"475",2004.83333333333,0.56
"520",2004.91666666667,0.48
"26",2005,0.09
"71",2005.08333333333,0.61
"116",2005.16666666667,0.83
"161",2005.25,0.14
"206",2005.33333333333,0.19
"251",2005.41666666667,0.2
"296",2005.5,0
"341",2005.58333333333,0.01
"386",2005.66666666667,-0.02
"431",2005.75,-0.66
"476",2005.83333333333,-0.7
"521",2005.91666666667,-0.7
"27",2006,-0.64
"72",2006.08333333333,-0.48
"117",2006.16666666667,-0.62
"162",2006.25,-0.84
"207",2006.33333333333,-0.42
"252",2006.41666666667,-0.18
"297",2006.5,0.21
"342",2006.58333333333,0.59
"387",2006.66666666667,0.65
"432",2006.75,0.77
"477",2006.83333333333,1
"522",2006.91666666667,0.64
"28",2007,0.64
"73",2007.08333333333,0.39
"118",2007.16666666667,-0.19
"163",2007.25,-0.32
"208",2007.33333333333,-0.41
"253",2007.41666666667,-0.83
"298",2007.5,-0.75
"343",2007.58333333333,-0.9
"388",2007.66666666667,-1.06
"433",2007.75,-1.13
"478",2007.83333333333,-1.12
"523",2007.91666666667,-1.19
"29",2008,-1.06
"74",2008.08333333333,-1.27
"119",2008.16666666667,-1.52
"164",2008.25,-1.11
"209",2008.33333333333,-0.99
"254",2008.41666666667,-0.8
"299",2008.5,-0.78
"344",2008.58333333333,-1.01
"389",2008.66666666667,-1.02
"434",2008.75,-1.08
"479",2008.83333333333,-0.98
"524",2008.91666666667,-1.01
"30",2009,-1.01
"75",2009.08333333333,-0.85
"120",2009.16666666667,-0.95
"165",2009.25,-0.81
"210",2009.33333333333,-0.72
"255",2009.41666666667,-0.05
"300",2009.5,0.56
"345",2009.58333333333,0.56
"390",2009.66666666667,0.42
"435",2009.75,0.56
"480",2009.83333333333,1.04
"525",2009.91666666667,0.95
"31",2010,0.93
"76",2010.08333333333,1.28
"121",2010.16666666667,1.33
"166",2010.25,0.49
"211",2010.33333333333,-0.12
"256",2010.41666666667,-1.29
"301",2010.5,-2.43
"346",2010.58333333333,-2.38
"391",2010.66666666667,-2.26
"436",2010.75,-2.16
"481",2010.83333333333,-2.01
"526",2010.91666666667,-1.86
"32",2011,-1.77
"77",2011.08333333333,-1.59
"122",2011.16666666667,-1.75
"167",2011.25,-1.69
"212",2011.33333333333,-1.23
"257",2011.41666666667,-1.02
"302",2011.5,-0.75
"347",2011.58333333333,-0.81
"392",2011.66666666667,-1.08
"437",2011.75,-1.3
"482",2011.83333333333,-1.14
"527",2011.91666666667,-1.18
"33",2012,-1.07
"78",2012.08333333333,-0.68
"123",2012.16666666667,-0.58
"168",2012.25,-0.38
"213",2012.33333333333,-0.32
"258",2012.41666666667,-0.28
"303",2012.5,0.34
"348",2012.58333333333,-0.02
"393",2012.66666666667,-0.29
"438",2012.75,-0.19
"483",2012.83333333333,-0.03
"528",2012.91666666667,-0.03
"34",2013,-0.06
"79",2013.08333333333,-0.08
"124",2013.16666666667,-0.12
"169",2013.25,-0.35
"214",2013.33333333333,-0.68
"259",2013.41666666667,-1.14
"304",2013.5,-0.79
"349",2013.58333333333,-0.45
"394",2013.66666666667,-0.33
"439",2013.75,-0.13
"484",2013.83333333333,-0.16
"529",2013.91666666667,-0.34
"35",2014,-0.5
"80",2014.08333333333,-0.42
"125",2014.16666666667,-0.05
"170",2014.25,-0.16
"215",2014.33333333333,-0.17
"260",2014.41666666667,0
"305",2014.5,0.42
"350",2014.58333333333,0.23
"395",2014.66666666667,-0.09
"440",2014.75,0.12
"485",2014.83333333333,0.37
"530",2014.91666666667,0.35
"36",2015,0.23
"81",2015.08333333333,0.06
"126",2015.16666666667,0.15
"171",2015.25,0.31
"216",2015.33333333333,0.95
"261",2015.41666666667,1.9
"306",2015.5,1.79
"351",2015.58333333333,1.95
"396",2015.66666666667,2.24
"441",2015.75,2.15
"486",2015.83333333333,1.94
"531",2015.91666666667,1.93
"37",2016,1.94
"82",2016.08333333333,1.81
"127",2016.16666666667,1.32
"172",2016.25,1.33
"217",2016.33333333333,1.24
"262",2016.41666666667,0.36
"307",2016.5,-0.53
"352",2016.58333333333,-0.27
"397",2016.66666666667,-0.29
"442",2016.75,-0.54
"487",2016.83333333333,-0.48
"532",2016.91666666667,-0.37
"38",2017,-0.43
"83",2017.08333333333,-0.42
"128",2017.16666666667,-0.58
"173",2017.25,-0.19
"218",2017.33333333333,0.19
"263",2017.41666666667,-0.24
"308",2017.5,-0.63
"353",2017.58333333333,-0.73
"398",2017.66666666667,-0.74
"443",2017.75,-0.59
"488",2017.83333333333,-0.62
"533",2017.91666666667,-0.74
"39",2018,-0.79
"84",2018.08333333333,-0.71
"129",2018.16666666667,-0.8
"174",2018.25,-1.32
"219",2018.33333333333,-0.94
"264",2018.41666666667,-0.52
"309",2018.5,-0.05
"354",2018.58333333333,0.46
"399",2018.66666666667,0.62
"444",2018.75,0.52
"489",2018.83333333333,0.33
"534",2018.91666666667,0.18
"40",2019,0.09
"85",2019.08333333333,0.5
"130",2019.16666666667,0.76
"175",2019.25,0.3
"220",2019.33333333333,0.23
"265",2019.41666666667,0.35
"310",2019.5,0.3
"355",2019.58333333333,0.32
"400",2019.66666666667,0.16
"445",2019.75,0.31
"490",2019.83333333333,0.47
"535",2019.91666666667,0.36
"41",2020,0.25
"86",2020.08333333333,0.26
"131",2020.16666666667,0.13
"176",2020.25,-0.15
"221",2020.33333333333,-0.23
"266",2020.41666666667,-0.68
"311",2020.5,-0.94
"356",2020.58333333333,-0.96
"401",2020.66666666667,-1.15
"446",2020.75,-1.17
"491",2020.83333333333,-1.13
"536",2020.91666666667,-1.14
"42",2021,-1.2
"87",2021.08333333333,-0.96
"132",2021.16666666667,-0.79
"177",2021.25,-0.95
"222",2021.33333333333,-1.07
"267",2021.41666666667,-1.05
"312",2021.5,-1.44
"357",2021.58333333333,-1.29
"402",2021.66666666667,-1.38
"447",2021.75,-1.46
"492",2021.83333333333,-1.39
"537",2021.91666666667,-1.2
"43",2022,-1.01
"88",2022.08333333333,-0.98
"133",2022.16666666667,-1.31
"178",2022.25,-1.61
"223",2022.33333333333,-1.63
"268",2022.41666666667,-1.9
"313",2022.5,-2.17
"358",2022.58333333333,-1.75
"403",2022.66666666667,-1.73
"448",2022.75,-1.73
"493",2022.83333333333,-1.53
"538",2022.91666666667,-1.28
"44",2023,-1.11
"89",2023.08333333333,-0.91
"134",2023.16666666667,-0.76
"179",2023.25,-0.37
"224",2023.33333333333,-0.06
"269",2023.41666666667,0.43
"314",2023.5,0.5
"359",2023.58333333333,0.51
"404",2023.66666666667,0.68
"449",2023.75,0.48
"494",2023.83333333333,0.91
"539",2023.91666666667,1.13
"45",2024,0.7
"90",2024.08333333333,0.68
"135",2024.16666666667,0.78
"180",2024.25,0.34
"225",2024.33333333333,0.12
"270",2024.41666666667,-0.23
"315",2024.5,-0.72
"360",2024.58333333333,-0.73
"405",2024.66666666667,-0.65
"450",2024.75,-0.52
"495",2024.83333333333,-0.68
"540",2024.91666666667,-0.91
